"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"331",331,606,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","40-49 years",602,3,3910,453,322,NA
"333",333,608,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","50-64 years",2455,4,15576,2058,1396,32
"335",335,610,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","65-74 years",2831,4,19253,2404,1581,29
"336",336,611,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","75-84 years",3083,4,23639,2626,1686,27
"337",337,612,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","85 years and over",2828,4,28280,2219,1249,14
"341",341,636,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","18-29 years",11,1,219,NA,NA,0
"343",343,638,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","30-39 years",26,1,369,24,15,0
"345",345,640,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","40-49 years",38,1,580,44,24,0
"347",347,642,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","50-64 years",152,2,2346,164,88,NA
"349",349,644,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","65-74 years",168,2,2847,237,102,NA
"350",350,645,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","75-84 years",109,2,2787,233,65,NA
"351",351,646,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Male","85 years and over",96,1,3220,296,53,NA
"354",354,649,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","0-17 years",0,1,84,NA,0,0
"357",357,655,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","30-39 years",11,1,145,10,NA,0
"359",359,657,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","40-49 years",27,1,293,23,17,0
"361",361,659,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","50-64 years",98,1,1256,119,61,NA
"363",363,661,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","65-74 years",90,1,1705,129,51,NA
"364",364,662,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","75-84 years",61,1,2090,137,36,NA
"365",365,663,"11/24/2021","1/1/2020","11/20/2021","By Total","Hawaii","Female","85 years and over",113,2,4929,318,49,NA
"369",369,687,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","18-29 years",10,1,425,NA,NA,0
"371",371,689,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","30-39 years",24,1,513,13,NA,NA
"373",373,691,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","40-49 years",85,1,724,55,43,NA
"375",375,693,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","50-64 years",423,2,2910,322,232,NA
"377",377,695,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","65-74 years",538,3,3850,442,308,NA
"378",378,696,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","75-84 years",690,3,4655,558,374,NA
"379",379,697,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Male","85 years and over",520,3,3955,370,242,NA
"382",382,700,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","0-17 years",0,1,139,NA,0,0
"385",385,706,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","30-39 years",21,1,265,19,15,0
"387",387,708,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","40-49 years",49,1,415,30,24,0
"389",389,710,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","50-64 years",218,2,1910,197,128,NA
"391",391,712,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","65-74 years",354,2,2760,315,215,NA
"392",392,713,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","75-84 years",404,2,3766,334,205,NA
"393",393,714,"11/24/2021","1/1/2020","11/20/2021","By Total","Idaho","Female","85 years and over",546,3,5438,376,208,NA
"395",395,734,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","0-17 years",12,1,1328,21,NA,NA
